Mission,Launch site / base (or coordinates),Destination station,Launch (UTC),Mission duration,Landing site (or coordinates),Rocket type,Source URL
STS-51A,,,,,,,https://en.wikipedia.org/wiki/STS-51A
STS-61-B,"Kennedy , LC-39A",,"November 27, 1985, 00:29:00 ( 1985-11-27UTC00:29Z ) UTC (7:29 pm EST )","6 days, 21 hours, 4 minutes, 49 seconds","Edwards , Runway 22",,https://en.wikipedia.org/wiki/STS-61-B
STS-28,"Kennedy , LC-39B",,"August 8, 1989, 12:37:00 ( 1989-08-08UTC12:37Z ) UTC (8:37 am EDT )","5 days, 1 hour, 8 seconds","Edwards , Runway 17",,https://en.wikipedia.org/wiki/STS-28
Spacelab 1,,,,,,,https://en.wikipedia.org/wiki/Spacelab%201
Atlas-1,,,,,,,
Euromir 94,,,,,,,https://en.wikipedia.org/wiki/Ulf_Merbold
STS-61-C,"Kennedy , LC-39A",,"January 12, 1986, 11:55:00 ( 1986-01-12UTC11:55Z ) UTC (6:55 am EST )","6 days, 2 hours, 3 minutes, 51 seconds","Edwards , Runway 22",,https://en.wikipedia.org/wiki/STS-61-C
STS-27,"Kennedy , LC-39B",,"December 2, 1988, 14:30:34 ( 1988-12-02UTC14:30:34Z ) UTC (9:30:34 am EST )","4 days, 9 hours, 5 minutes and 37 seconds","Edwards , Runway 17",,https://en.wikipedia.org/wiki/STS-27
STS-47,"Kennedy , LC-39B",,"September 12, 1992, 14:23:00 ( 1992-09-12UTC14:23Z ) UTC (10:23 am EDT )","7 days, 22 hours, 30 minutes, 24 seconds","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS-47
STS-71,"Kennedy , LC-39A",,"June 27, 1995, 19:32:19 ( 1995-06-27UTC19:32:19Z ) UTC","9 days, 19 hours, 23 minutes, 9 seconds","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS-71
STS-51-L,"Kennedy , LC-39B",,"January 28, 1986, 16:38:00 ( 1986-01-28UTC16:38 ) UTC (11:38 am EST )",6 days and 34 minutes (planned) 1 minute and 13 seconds (achieved),"Kennedy, SLF Runway 33 (planned)",,https://en.wikipedia.org/wiki/STS-51-L
STS-41 B,,,,,,,https://en.wikipedia.org/wiki/STS%2041
STS-51 J,,,,,,,https://en.wikipedia.org/wiki/STS%2051
STS-31,"Kennedy , LC-39B",,"April 24, 1990, 12:33:51 ( 1990-04-24UTC12:33:51Z ) UTC (8:33:51 am EDT )","5 days, 1 hour, 16 minutes, 6 seconds","Edwards , Runway 22",,https://en.wikipedia.org/wiki/STS-31
STS-41 C,,,,,,,https://en.wikipedia.org/wiki/STS%2041
STS-51I,,,,,,,https://en.wikipedia.org/wiki/STS-51I
STS-41C,,,,,,,https://en.wikipedia.org/wiki/STS-41C
STS-61C,,,,,,,https://en.wikipedia.org/wiki/STS-61C
STS-29,"Kennedy , LC-39B",,"March 13, 1989, 14:57:00 ( 1989-03-13UTC14:57Z ) UTC (9:57 am EST )","4 days, 23 hours, 38 minutes, 50 seconds","Edwards , Runway 22",,https://en.wikipedia.org/wiki/STS-29
STS-41D,,,,,,,https://en.wikipedia.org/wiki/STS-41D
STS-36,"Kennedy , LC-39A",,"February 28, 1990, 07:50:22 UTC (2:50:22 am EST )","4 days, 10 hours, 18 minutes, 22 seconds","Edwards , Runway 23",,https://en.wikipedia.org/wiki/STS-36
STS-82,"Kennedy , LC-39A",,"February 11, 1997, 08:55:17 ( 1997-02-11UTC08:55:17Z ) UTC","9 days, 23 hours, 38 minutes, 9 seconds","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS-82
STS-93,"Kennedy , LC-39B",,"23 July 1999, 04:31:00 ( 1999-07-23UTC04:31Z ) UTC","4 days, 22 hours, 49 minutes, 34 seconds","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS-93
STS-51D,,,,,,,https://en.wikipedia.org/wiki/STS-51D
STS-61B,,,,,,,https://en.wikipedia.org/wiki/STS-61B
STS-45,"Kennedy , LC-39A",,"March 24, 1992, 13:13:39 ( 1992-03-24UTC13:13:39Z ) UTC (8:13:39 am EST )","8 days, 22 hours, 9 minutes, 27 seconds","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS-45
STS-77,"Kennedy , LC-39B",,"19 May 1996, 10:30:00.066 ( 1996-05-19UTC10:30Z ) UTC","10 days, 40 minutes, 10 seconds","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS-77
STS-97,"Kennedy , LC-39B",,"1 December 2000, 03:06 ( 2000-12-01UTC03:06Z ) UTC","10 days, 19 hours, 58 minutes, 20 seconds","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS-97
STS-69,"Kennedy , LC-39A",,"7 September 1995, 15:09:00 ( 1995-09-07UTC15:09Z ) UTC","10 days, 20 hours, 29 minutes, 56 seconds","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS-69
STS-51-C,"Kennedy , LC-39A",,"January 24, 1985, 19:50:00 ( 1985-01-24UTC19:50Z ) UTC (2:50 pm EST )","3 days, 1 hour, 33 minutes, 23 seconds","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS-51-C
STS-46,"Kennedy , LC-39B",,"July 31, 1992, 13:56:48 ( 1992-07-31UTC13:56:48Z ) UTC (9:56:48 am EDT )","7 days, 23 hours, 15 minutes, 2 seconds","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS-46
STS 51-C,,,,,,,
STS 51-L,,,,,,,
